"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-11-30 05:48:13","472349366","VTHOUSDT","Market","SELL","0","2326VTHO","2024-11-30 05:48:13","2326VTHO","0.00303","7.04778USDT","FILLED"
"2024-11-30 05:48:13","1091570961","MINAUSDT","Market","SELL","0","8.2MINA","2024-11-30 05:48:13","8.2MINA","0.8497","6.96754USDT","FILLED"
"2024-11-28 12:26:01","4641637539","DOTUSDT","Limit","SELL","9","1.21DOT","2024-11-29 15:14:17","1.21DOT","9","10.89USDT","FILLED"
"2024-11-28 12:25:50","4641636952","DOTUSDT","Market","BUY","0","1.21DOT","2024-11-28 12:25:50","1.21DOT","8.203","9.92563USDT","FILLED"
"2024-11-28 03:59:48","752944411","BEAMXUSDT","Market","SELL","0","300BEAMX","2024-11-28 03:59:48","300BEAMX","0.02488","7.464USDT","FILLED"
"2024-11-28 03:59:04","8650089608","SOLUSDT","Limit","SELL","270.95","0.29SOL","2024-11-30 05:46:43","0SOL","0","0USDT","CANCELED"
"2024-11-28 03:58:07","8650082015","SOLUSDT","Market","BUY","0","0.041SOL","2024-11-28 03:58:07","0.041SOL","240.13","9.84533USDT","FILLED"
"2024-11-28 03:57:55","8650080241","SOLUSDT","Market","BUY","0","0.083SOL","2024-11-28 03:57:55","0.083SOL","240.21","19.93743USDT","FILLED"
"2024-11-28 03:56:56","8650072619","SOLUSDT","Market","BUY","0","0.166SOL","2024-11-28 03:56:56","0.166SOL","240.23","39.87818USDT","FILLED"
"2024-11-28 03:55:53","2026127517","ALGOUSDT","Market","BUY","0","17ALGO","2024-11-28 03:55:53","17ALGO","0.2867","4.8739USDT","FILLED"
"2024-11-28 03:55:31","3883124501","FILUSDT","Market","BUY","0","1.75FIL","2024-11-28 03:55:31","1.75FIL","5.704","9.982USDT","FILLED"
"2024-11-27 05:23:14","1486375124","COTIUSDT","Market","BUY","0","75COTI","2024-11-27 05:23:14","75COTI","0.13198","9.8985USDT","FILLED"
"2024-11-26 13:28:50","1022474676","RVNUSDT","Market","BUY","0","443.8RVN","2024-11-26 13:28:50","443.8RVN","0.02253","9.998814USDT","FILLED"
"2024-11-26 13:28:28","749922215","BEAMXUSDT","Market","BUY","0","478BEAMX","2024-11-26 13:28:28","478BEAMX","0.02092","9.99976USDT","FILLED"
"2024-11-26 13:27:15","640804719","GLMRUSDT","Market","BUY","0","40.2GLMR","2024-11-26 13:27:15","40.2GLMR","0.2482","9.97764USDT","FILLED"
"2024-11-26 06:21:22","3981037232","FTMUSDT","Market","BUY","0","6FTM","2024-11-26 06:21:22","6FTM","0.9831","5.8986USDT","FILLED"
"2024-11-26 06:21:22","3868932072","FILUSDT","Market","BUY","0","1.13FIL","2024-11-26 06:21:22","1.13FIL","5.706","6.44778USDT","FILLED"
"2024-11-26 06:21:22","2323254991","FETUSDT","Market","BUY","0","4.4FET","2024-11-26 06:21:22","4.4FET","1.465","6.446USDT","FILLED"
"2024-11-26 06:21:21","1482925449","COTIUSDT","Market","BUY","0","45COTI","2024-11-26 06:21:21","45COTI","0.14074","6.3333USDT","FILLED"
"2024-11-26 06:21:21","749134992","BEAMXUSDT","Market","BUY","0","281BEAMX","2024-11-26 06:21:21","281BEAMX","0.02298","6.45738USDT","FILLED"
"2024-11-26 06:21:21","1079082004","MINAUSDT","Market","BUY","0","8.2MINA","2024-11-26 06:21:21","8.2MINA","0.7842","6.43044USDT","FILLED"
"2024-11-26 06:21:21","2170946760","ARBUSDT","Market","BUY","0","7.1ARB","2024-11-26 06:21:21","7.1ARB","0.9072","6.44112USDT","FILLED"
"2024-11-26 06:21:20","1403387249","IMXUSDT","Market","BUY","0","3.73IMX","2024-11-26 06:21:20","3.73IMX","1.728","6.44544USDT","FILLED"
"2024-11-26 06:21:20","640533517","GLMRUSDT","Market","BUY","0","24GLMR","2024-11-26 06:21:20","24GLMR","0.2684","6.4416USDT","FILLED"
"2024-11-26 06:21:20","1880092403","INJUSDT","Market","BUY","0","0.23INJ","2024-11-26 06:21:20","0.23INJ","27.62","6.3526USDT","FILLED"
"2024-11-26 06:21:19","3718927069","AVAXUSDT","Market","BUY","0","0.15AVAX","2024-11-26 06:21:19","0.15AVAX","41.98","6.297USDT","FILLED"
"2024-11-26 06:21:19","1335292401","SEIUSDT","Market","BUY","0","9.9SEI","2024-11-26 06:21:19","9.9SEI","0.6463","6.39837USDT","FILLED"
"2024-11-26 06:21:19","469953176","VTHOUSDT","Market","BUY","0","2326VTHO","2024-11-26 06:21:19","2326VTHO","0.002775","6.45465USDT","FILLED"
"2024-11-26 06:21:19","1240310771","SKLUSDT","Market","BUY","0","106SKL","2024-11-26 06:21:19","106SKL","0.06042","6.40452USDT","FILLED"
"2024-11-26 06:09:03","3868856878","FILUSDT","Market","SELL","0","9.07FIL","2024-11-26 06:09:03","9.07FIL","5.734","52.00738USDT","FILLED"
"2024-11-26 06:09:03","1335204785","SEIUSDT","Market","SELL","0","184.2SEI","2024-11-26 06:09:03","184.2SEI","0.6482","119.39844USDT","FILLED"
"2024-11-26 06:08:42","80181816","SEIBNB","Limit","SELL","0.0010013","10SEI","2024-11-26 06:08:42","10SEI","0.0010064","0.010064BNB","FILLED"
"2024-11-26 06:08:42","1335203107","SEIUSDT","Limit","SELL","0.6449","66.5SEI","2024-11-26 06:08:42","66.5SEI","0.6482","43.1053USDT","FILLED"
"2024-11-16 11:45:55","3809568223","FILUSDT","Market","BUY","0","9.08FIL","2024-11-16 11:45:55","9.08FIL","4.402","39.97016USDT","FILLED"
"2024-11-16 11:45:36","1271011194","SEIUSDT","Market","BUY","0","261SEI","2024-11-16 11:45:36","261SEI","0.5272","137.5992USDT","FILLED"
"2024-11-16 11:43:32","1376828986","IMXUSDT","Market","SELL","0","60.51IMX","2024-11-16 11:43:32","60.51IMX","1.343","81.26493USDT","FILLED"
"2024-11-16 11:43:32","1153006775","HBARUSDT","Market","SELL","0","174HBAR","2024-11-16 11:43:32","174HBAR","0.0813","14.1462USDT","FILLED"
"2024-11-16 11:43:13","1376828280","IMXUSDT","Limit","SELL","1.336","39.62IMX","2024-11-16 11:43:13","39.62IMX","1.3423786","53.18504USDT","FILLED"
"2024-11-16 11:43:13","78032486","SEIBNB","Limit","SELL","0.0008353","12SEI","2024-11-16 11:43:13","12SEI","0.0008395","0.010074BNB","FILLED"
"2024-11-12 04:59:20","459285059","VTHOUSDT","Market","BUY","0","4957VTHO","2024-11-12 04:59:20","4957VTHO","0.002017","9.998269USDT","FILLED"
"2024-11-12 04:58:54","3787672835","FILUSDT","Market","BUY","0","2.26FIL","2024-11-12 04:58:54","2.26FIL","4.415","9.9779USDT","FILLED"
"2024-11-12 04:58:45","1116381942","HBARUSDT","Market","BUY","0","175HBAR","2024-11-12 04:58:45","175HBAR","0.05706","9.9855USDT","FILLED"
"2024-11-12 04:58:35","1244611615","SEIUSDT","Market","BUY","0","20.3SEI","2024-11-12 04:58:35","20.3SEI","0.4922","9.99166USDT","FILLED"
"2024-11-12 04:58:26","3333640514","ATOMUSDT","Market","BUY","0","1.8ATOM","2024-11-12 04:58:26","1.8ATOM","5.545","9.981USDT","FILLED"
"2024-11-02 14:26:46","1339992376","IMXUSDT","Market","BUY","0","100.24IMX","2024-11-02 14:26:46","100.24IMX","1.069","107.15656USDT","FILLED"
"2024-11-02 11:33:12","3570335134","AVAXUSDT","Market","SELL","0","0.4AVAX","2024-11-02 11:33:12","0.4AVAX","24.7","9.88USDT","FILLED"
"2024-11-02 11:33:12","1204796750","SEIUSDT","Market","SELL","0","27.2SEI","2024-11-02 11:33:12","27.2SEI","0.3731","10.14832USDT","FILLED"
"2024-11-02 11:33:12","31873103416","BTCUSDT","Market","SELL","0","0.00015BTC","2024-11-02 11:33:12","0.00015BTC","69664","10.4496USDT","FILLED"
"2024-11-02 11:33:12","1423172163","COTIUSDT","Market","SELL","0","113COTI","2024-11-02 11:33:12","113COTI","0.08863","10.01519USDT","FILLED"
"2024-11-02 11:33:12","2012804551","ARBUSDT","Market","SELL","0","19.9ARB","2024-11-02 11:33:12","19.9ARB","0.5189","10.32611USDT","FILLED"
"2024-11-02 11:32:57","702001284","BEAMXUSDT","Limit","SELL","0.01642","577BEAMX","2024-11-02 11:32:57","577BEAMX","0.01651","9.52627USDT","FILLED"
"2024-11-02 11:32:57","176583452","INJBNB","Limit","SELL","0.03201","0.32INJ","2024-11-02 11:32:57","0.32INJ","0.03218","0.0102976BNB","FILLED"
"2024-11-02 11:32:57","6281053811","DOGEUSDT","Limit","SELL","0.15922","64DOGE","2024-11-02 11:32:57","64DOGE","0.16003","10.24192USDT","FILLED"
"2024-11-02 11:32:57","3757824008","FILUSDT","Limit","SELL","3.469","2.94FIL","2024-11-02 11:32:57","2.94FIL","3.487","10.25178USDT","FILLED"
"2024-11-02 11:32:57","1013132872","MINAUSDT","Limit","SELL","0.5065","19.6MINA","2024-11-02 11:32:57","19.6MINA","0.5091","9.97836USDT","FILLED"
"2024-10-29 12:06:30","3750507092","FILUSDT","Market","BUY","0","2.94FIL","2024-10-29 12:06:30","2.94FIL","3.652","10.73688USDT","FILLED"
"2024-10-29 12:06:30","3821943579","FTMUSDT","Market","BUY","0","14FTM","2024-10-29 12:06:30","14FTM","0.717","10.038USDT","FILLED"
"2024-10-29 12:06:30","1007202465","MINAUSDT","Market","BUY","0","19.6MINA","2024-10-29 12:06:30","19.6MINA","0.5464","10.70944USDT","FILLED"
"2024-10-29 12:06:30","2170635341","FETUSDT","Market","BUY","0","8FET","2024-10-29 12:06:30","8FET","1.329","10.632USDT","FILLED"
"2024-10-29 12:06:29","2000347396","ARBUSDT","Market","BUY","0","19.9ARB","2024-10-29 12:06:29","19.9ARB","0.5386","10.71814USDT","FILLED"
"2024-10-29 12:06:29","1760796613","INJUSDT","Market","BUY","0","0.53INJ","2024-10-29 12:06:29","0.53INJ","20.14","10.6742USDT","FILLED"
"2024-10-29 12:06:29","31738519145","BTCUSDT","Market","BUY","0","0.00015BTC","2024-10-29 12:06:29","0.00015BTC","71466.01","10.7199015USDT","FILLED"
"2024-10-29 12:06:29","1417158891","COTIUSDT","Market","BUY","0","113COTI","2024-10-29 12:06:29","113COTI","0.0945","10.6785USDT","FILLED"
"2024-10-29 12:06:29","696915008","BEAMXUSDT","Market","BUY","0","578BEAMX","2024-10-29 12:06:29","578BEAMX","0.01859","10.74502USDT","FILLED"
"2024-10-29 12:06:28","3560789155","AVAXUSDT","Market","BUY","0","0.4AVAX","2024-10-29 12:06:28","0.4AVAX","26.81","10.724USDT","FILLED"
"2024-10-29 12:06:28","1193806041","SEIUSDT","Market","BUY","0","27.2SEI","2024-10-29 12:06:28","27.2SEI","0.3944","10.72768USDT","FILLED"
"2024-10-29 12:06:28","621390644","GLMRUSDT","Market","BUY","0","66.2GLMR","2024-10-29 12:06:28","66.2GLMR","0.1622","10.73764USDT","FILLED"
"2024-10-29 12:06:28","1332919722","IMXUSDT","Market","BUY","0","7.72IMX","2024-10-29 12:06:28","7.72IMX","1.391","10.73852USDT","FILLED"
"2024-10-29 12:06:28","6231289872","DOGEUSDT","Market","BUY","0","64DOGE","2024-10-29 12:06:28","64DOGE","0.16671","10.66944USDT","FILLED"
"2024-10-29 12:06:27","454478109","VTHOUSDT","Market","BUY","0","6486VTHO","2024-10-29 12:06:27","6486VTHO","0.001658","10.753788USDT","FILLED"
"2024-10-29 12:06:27","1190713758","SKLUSDT","Market","BUY","0","287SKL","2024-10-29 12:06:27","287SKL","0.03742","10.73954USDT","FILLED"
"2024-10-27 08:28:20","1414177303","COTIUSDT","Market","SELL","0","124COTI","2024-10-27 08:28:20","124COTI","0.0904","11.2096USDT","FILLED"
"2024-10-27 08:28:20","3747022149","FILUSDT","Market","SELL","0","3.46FIL","2024-10-27 08:28:20","3.46FIL","3.489","12.07194USDT","FILLED"
"2024-10-27 08:28:19","1330199798","IMXUSDT","Market","SELL","0","8.44IMX","2024-10-27 08:28:19","8.44IMX","1.335","11.2674USDT","FILLED"
"2024-10-27 08:28:19","620653677","GLMRUSDT","Market","SELL","0","79.3GLMR","2024-10-27 08:28:19","79.3GLMR","0.1566","12.41838USDT","FILLED"
"2024-10-27 08:28:19","1754321268","INJUSDT","Market","SELL","0","0.61INJ","2024-10-27 08:28:19","0.61INJ","18.47","11.2667USDT","FILLED"
"2024-10-27 08:28:19","2163777652","FETUSDT","Market","SELL","0","9.3FET","2024-10-27 08:28:19","9.3FET","1.243","11.5599USDT","FILLED"
"2024-10-27 08:28:19","694250515","BEAMXUSDT","Market","SELL","0","765BEAMX","2024-10-27 08:28:19","765BEAMX","0.01828","13.9842USDT","FILLED"
"2024-10-27 08:28:18","454179310","VTHOUSDT","Market","SELL","0","6566VTHO","2024-10-27 08:28:18","6566VTHO","0.001632","10.715712USDT","FILLED"
"2024-10-27 08:28:18","3814125570","FTMUSDT","Market","SELL","0","16FTM","2024-10-27 08:28:18","16FTM","0.6469","10.3504USDT","FILLED"
"2024-10-27 08:28:18","1188424285","SKLUSDT","Market","SELL","0","321SKL","2024-10-27 08:28:18","321SKL","0.03453","11.08413USDT","FILLED"
"2024-10-27 08:28:18","3555134313","AVAXUSDT","Market","SELL","0","0.46AVAX","2024-10-27 08:28:18","0.46AVAX","25.45","11.707USDT","FILLED"
"2024-10-27 08:28:18","6206547341","DOGEUSDT","Market","SELL","0","83DOGE","2024-10-27 08:28:18","83DOGE","0.13815","11.46645USDT","FILLED"
"2024-10-27 08:28:17","1995131870","ARBUSDT","Market","SELL","0","22.6ARB","2024-10-27 08:28:17","22.6ARB","0.5142","11.62092USDT","FILLED"
"2024-10-27 08:28:17","1188930486","SEIUSDT","Market","SELL","0","30.2SEI","2024-10-27 08:28:17","30.2SEI","0.3774","11.39748USDT","FILLED"
"2024-10-27 08:28:17","1004387991","MINAUSDT","Market","SELL","0","21MINA","2024-10-27 08:28:17","21MINA","0.519","10.899USDT","FILLED"
"2024-10-27 08:28:17","31675984053","BTCUSDT","Market","SELL","0","0.00019BTC","2024-10-27 08:28:17","0.00019BTC","67215.49","12.7709431USDT","FILLED"
"2024-10-27 08:27:57","6206546892","DOGEUSDT","Market","SELL","0","9DOGE","2024-10-27 08:27:57","9DOGE","0.13814","1.24326USDT","FILLED"
"2024-10-27 08:27:57","454179289","VTHOUSDT","Market","SELL","0","729VTHO","2024-10-27 08:27:57","729VTHO","0.001632","1.189728USDT","FILLED"
"2024-10-21 05:24:21","2141406124","FETUSDT","Market","BUY","0","9.4FET","2024-10-21 05:24:21","9.4FET","1.46","13.724USDT","FILLED"
"2024-10-21 05:24:21","994730549","MINAUSDT","Market","BUY","0","21.1MINA","2024-10-21 05:24:21","21.1MINA","0.6556","13.83316USDT","FILLED"
